;T;UMIN;KMH;AVG_KMH;KM_TOTAL;KM_RALLYE;KM_SECTOR;KM_SECTOR_PRESET;KM_SECTOR_TO_BE_DRIVEN;FRAC_SECTOR_DRIVEN;DEV_AVG_KMH;KMH_GPS;LAT;LON;KM_TOTAL_GPS;KM_RALLYE_GPS;KM_SECTOR_GPS
data;1,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849870333;7,844805333;0,00;0,00;0,00
data;2,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498645;7,844811833;0,00;0,00;0,00
data;3,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849861167;7,844815167;0,00;0,00;0,00
data;4,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849855667;7,844820667;0,00;0,00;0,00
data;5,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849851167;7,844823667;0,00;0,00;0,00
data;6,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849851167;7,844821167;0,00;0,00;0,00
data;7,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849852;7,844818333;0,00;0,00;0,00
data;8,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849853;7,8448145;0,00;0,00;0,00
data;9,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849853167;7,844812333;0,00;0,00;0,00
data;10,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8498525;7,8448115;0,00;0,00;0,00
data;11,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849855;7,8448055;0,00;0,00;0,00
data;12,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849857667;7,8447995;0,00;0,00;0,00
data;13,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,84986;7,844793167;0,00;0,00;0,00
data;14,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849861;7,844789833;0,00;0,00;0,00
data;15,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849862667;7,844785;0,00;0,00;0,00
data;16,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849863833;7,84478;0,00;0,00;0,00
data;17,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849865167;7,844774667;0,00;0,00;0,00
data;18,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849865667;7,844770333;0,00;0,00;0,00
data;19,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849866667;7,844766833;0,00;0,00;0,00
data;20,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,84987;7,8447595;0,00;0,00;0,00
data;21,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849869667;7,844757667;0,00;0,00;0,00
data;22,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,84987;7,844755;0,00;0,00;0,00
data;23,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849869;7,844756167;0,00;0,00;0,00
